pid,female,age,us_citizen,high_school,bachelor,employed,wage_hourly,income,renter,rent
44,0,31,0,1,1,1,6.009615384615385,NA,0,NA
45,0,68,1,1,0,0,NA,NA,0,NA
46,1,18,1,1,0,0,NA,NA,0,NA
47,1,18,1,1,0,0,NA,NA,0,NA
48,1,20,1,1,0,0,NA,NA,0,NA
49,0,67,1,1,0,0,NA,NA,0,NA
50,1,59,1,1,0,0,NA,NA,0,NA
51,1,58,1,1,0,0,NA,NA,0,NA
52,0,24,1,1,1,1,37.01923076923077,77000,1,1900
53,0,33,0,1,0,1,78.84615384615384,164000,1,2200
54,0,62,0,1,1,0,NA,172400,0,NA
55,0,67,1,1,0,1,33.65384615384615,204400,1,1500
56,0,43,0,1,1,1,48.95104895104895,140000,1,2300
57,1,59,1,1,0,1,41.82692307692308,147000,0,NA
58,0,32,1,1,0,1,15.384615384615383,32000,0,NA
59,1,30,0,0,0,0,2.548076923076923,61700,1,970
60,1,32,1,1,1,1,48.07692307692308,270000,1,3500
61,0,40,1,1,1,1,31.868131868131872,58000,1,1700
62,0,59,0,1,0,0,35.19230769230769,36600,1,760
63,1,28,1,1,1,1,33.17307692307692,171250,1,2700
64,0,79,1,1,0,0,NA,11500,1,620
65,1,28,0,1,1,1,13.461538461538462,28000,1,2000
66,1,36,1,1,1,0,NA,58000,1,1700
67,0,39,0,1,0,0,NA,30000,1,1800
68,0,48,1,1,1,1,46.15384615384615,120000,0,NA
69,1,72,1,1,1,1,24.67032967032967,155200,1,1700
70,0,60,1,1,1,1,20.192307692307693,42000,0,NA
71,0,40,0,1,1,1,76.92307692307693,160000,1,1400
72,1,30,1,1,1,1,28.846153846153847,150000,1,2400
73,1,34,1,1,0,1,27.884615384615387,58000,1,1400
74,0,68,1,1,0,0,6.410256410256411,14800,1,1000
75,0,33,0,1,0,1,14.230769230769232,72000,1,1700
76,1,23,1,1,1,1,28.365384615384613,59000,1,1600
77,0,56,1,1,0,1,53.84615384615385,98000,1,1100
78,0,52,1,1,0,1,33.65384615384615,70000,1,1800
79,0,69,1,1,0,0,NA,113000,1,730
80,0,48,1,1,1,1,327.88461538461536,772000,0,NA
81,1,61,1,1,1,1,19.23076923076923,68700,0,NA
82,0,85,1,1,0,0,NA,121100,0,NA
83,1,27,1,1,0,0,12.019230769230768,50000,1,1700
84,0,27,1,1,1,1,7.355769230769231,47100,1,1800
85,0,60,1,1,0,0,NA,120000,1,2600
86,1,25,1,1,1,1,38.46153846153846,350000,1,5100
87,0,48,1,1,0,0,NA,0,1,1200
88,1,48,1,1,0,0,NA,117000,1,1800
89,1,43,1,1,1,1,57.692307692307686,165050,1,2300
90,0,77,1,1,1,1,24.03846153846154,50000,0,NA
91,0,34,0,1,1,1,81.73076923076923,170000,1,2200
92,0,72,1,1,0,0,NA,69030,0,NA
93,0,41,1,1,1,1,45.72649572649573,168000,0,NA
94,0,74,0,1,1,0,NA,25800,0,NA
95,1,63,1,1,1,1,34.61538461538461,102900,0,NA
96,1,50,1,1,1,1,85.47008547008546,500000,0,NA
97,1,29,1,1,1,1,28.571428571428573,52000,1,1300
98,0,35,1,1,1,1,36.05769230769231,75300,1,1800
99,0,43,1,1,1,1,13.461538461538462,50000,1,1300
100,1,52,1,1,0,1,19.230769230769234,139000,0,NA
101,1,73,1,1,1,0,NA,279700,0,NA
102,1,36,1,1,1,1,38.46153846153847,235000,0,NA
103,1,57,1,1,1,1,61.53846153846154,192400,1,3500
104,1,33,1,1,1,1,37.01923076923077,190020,1,2400
105,0,30,1,1,1,1,65.38461538461539,235000,1,5100
106,0,58,1,1,0,1,33.65384615384615,70000,1,1600
107,0,33,1,1,1,1,130.76923076923077,513280,1,3000
108,0,83,1,1,0,0,NA,130400,0,NA
109,1,41,1,1,0,1,31.25,65000,1,1800
110,0,39,1,0,0,1,0.19230769230769232,39200,1,1200
111,1,33,0,1,1,1,26.923076923076923,63000,1,2000
112,1,32,1,1,1,1,43.26923076923077,240000,0,NA
113,0,43,1,1,1,1,136.2179487179487,425500,0,NA
114,1,34,1,1,1,1,29.326923076923077,124000,0,NA
115,0,32,1,1,1,1,57.69230769230769,295000,1,5100
116,0,37,1,1,1,1,106.83760683760684,252000,0,NA
117,0,37,1,1,1,1,55.28846153846153,305000,1,5100
118,1,71,1,1,0,0,NA,10600,0,NA
119,1,32,1,1,1,1,84.61538461538461,326000,0,NA
120,0,36,1,1,1,1,83.33333333333333,290000,1,1800
121,1,45,1,1,1,1,218.5897435897436,1094000,0,NA
122,0,34,1,1,1,1,327.88461538461536,762000,1,5100
123,1,44,0,1,1,0,NA,687000,0,NA
124,1,31,1,1,1,1,42.30769230769231,250500,1,2200
125,1,40,1,1,1,1,7.211538461538462,33700,0,NA
126,0,38,0,1,1,1,76.92307692307693,160000,1,3000
127,0,57,1,1,1,1,86.53846153846153,180000,1,1500
128,1,54,1,1,0,1,48.07692307692308,114800,0,NA
129,0,64,1,1,0,0,NA,77200,1,800
130,0,50,1,1,1,1,76.92307692307693,165000,1,3600
131,0,91,1,1,1,0,NA,53000,0,NA
132,1,27,1,1,1,1,33.65384615384615,195000,1,2500
133,1,29,1,1,0,1,19.230769230769234,40000,1,970
134,1,31,1,1,0,0,NA,40800,1,1400
135,0,30,0,1,1,1,85.47008547008546,330000,0,NA
136,0,27,0,1,1,1,48.07692307692308,100000,1,5100
137,0,36,1,1,1,1,54.32692307692307,113000,1,1300
138,0,59,1,1,0,1,48.07692307692308,302500,0,NA
139,0,35,1,1,0,1,23.076923076923077,68000,1,2500
140,1,33,1,1,1,1,72.11538461538461,347400,0,NA
141,1,56,1,1,1,1,69.23076923076923,180000,0,NA
142,0,38,0,1,1,1,72.11538461538461,200000,0,NA
143,1,51,1,1,0,1,16.666666666666668,63500,0,NA
144,0,31,0,1,1,1,43.26923076923077,95000,1,2100
145,1,52,1,1,1,1,29.80769230769231,62000,1,2000
146,0,52,1,1,0,1,18.29059829059829,42800,0,NA
147,0,46,1,1,1,1,262.3076923076923,683600,0,NA
148,0,56,1,1,1,1,180.76923076923077,748800,0,NA
149,0,53,1,1,1,0,NA,300000,0,NA
150,0,28,0,1,1,1,23.076923076923077,91000,1,1200
151,0,74,0,0,0,0,NA,47300,1,1200
152,1,57,0,1,0,1,12.145748987854251,35000,1,1600
153,1,65,1,1,0,1,23.076923076923077,91800,0,NA
154,0,25,1,1,0,1,26.44230769230769,180410,1,2100
155,0,26,0,1,1,1,62.5,170000,1,2200
156,1,29,1,1,1,1,67.3076923076923,140000,1,2500
157,0,37,1,1,1,0,17.307692307692307,49400,1,1900
158,1,60,1,1,1,1,57.69230769230769,155000,0,NA
159,0,27,0,1,1,1,120.1923076923077,250200,0,NA
160,0,34,1,1,1,1,44.871794871794876,297000,1,2400
161,0,29,1,1,0,1,14.423076923076923,30000,1,1600
162,1,58,1,1,0,1,27.403846153846153,57000,0,NA
163,0,38,0,1,1,1,96.15384615384616,200000,1,2600
164,1,34,1,1,1,1,38.46153846153846,270000,1,3500
165,0,40,1,1,1,1,44.230769230769226,115020,1,1800
166,1,67,0,1,1,1,156.13553113553112,803900,1,1700
167,0,75,1,1,0,0,NA,30070,0,NA
168,1,56,1,0,0,1,9.615384615384617,37000,1,1200
169,0,62,1,1,0,1,8.241758241758241,30000,0,NA
170,0,71,1,1,0,1,173.07692307692307,64880,0,NA
171,0,46,0,1,1,1,24.03846153846154,100000,1,1500
172,0,22,0,1,0,0,NA,95000,1,2000
173,1,80,1,1,0,0,NA,25600,0,NA
174,0,37,1,1,1,1,48.07692307692308,150000,0,NA
175,1,64,1,1,1,1,22.157190635451506,60500,1,1500
176,0,34,1,1,1,1,68.37606837606837,273500,0,NA
177,1,67,1,1,0,0,NA,26000,0,NA
178,0,29,0,1,1,1,48.07692307692308,180000,1,3000
179,1,30,1,1,1,1,64.90384615384616,135200,1,2200
180,1,33,1,1,1,1,30.288461538461537,243900,1,5100
181,0,28,1,1,0,1,9.615384615384617,45000,1,1400
182,1,54,1,1,1,1,72.11538461538461,171000,0,NA
183,1,45,1,1,1,1,19.230769230769234,55000,1,500
184,0,47,1,1,1,1,48.07692307692307,130320,1,1700
185,1,75,1,0,0,0,NA,23000,0,NA
186,1,75,1,1,1,0,NA,315400,0,NA
187,1,64,1,1,0,0,NA,23200,1,440
188,1,41,1,1,0,0,NA,12000,1,800
189,1,62,1,1,0,1,17.78846153846154,58300,1,1400
190,1,95,1,1,0,0,NA,255280,0,NA
191,0,55,1,1,1,0,NA,18500,1,1100
192,0,61,1,1,0,0,NA,121000,0,NA
193,1,53,1,0,0,0,NA,70440,1,540
194,0,44,1,1,0,1,33.333333333333336,52000,1,1700
195,1,31,1,1,1,1,76.92307692307692,200000,0,NA
196,1,66,1,1,0,0,NA,20400,1,710
197,0,68,1,1,1,1,99.03846153846153,429000,1,3100
198,0,78,1,0,0,0,NA,44900,1,860
199,0,22,0,1,1,0,NA,0,1,2700
200,1,27,1,1,1,1,57.69230769230769,120000,1,1400
201,0,73,1,1,1,0,NA,71700,1,2700
202,1,64,1,1,1,1,59.61538461538462,216000,0,NA
203,0,79,0,1,1,0,NA,48200,0,NA
204,0,50,1,1,1,1,32.69230769230769,175000,0,NA
205,1,43,1,1,1,1,41.82692307692308,87000,1,1100
206,1,51,1,1,0,0,NA,16600,1,830
207,1,58,1,0,0,1,1.5734265734265733,33300,1,1400
208,0,38,1,1,1,1,16.64835164835165,87800,1,2400
209,0,36,1,1,1,1,46.58119658119658,259800,1,5100
210,0,31,0,1,1,1,48.07692307692308,241000,1,3300
211,1,59,1,1,0,1,144.23076923076923,51400,0,NA
212,1,60,0,1,1,0,NA,31600,1,880
213,1,29,1,1,1,1,24.03846153846154,50000,1,1600
214,1,40,1,1,0,1,35.57692307692308,74000,0,NA
215,0,44,1,1,1,1,48.07692307692307,125000,1,2300
216,0,26,0,1,1,1,31.25,67000,1,1700
217,0,31,0,1,1,1,57.69230769230769,557000,0,NA
218,0,26,1,1,1,1,38.46153846153847,135000,1,2700
219,0,31,0,1,1,1,48.07692307692308,300000,1,5100
220,0,56,1,1,1,1,60.09615384615385,338000,1,2000
221,1,80,1,1,0,0,NA,30000,0,NA
222,0,49,1,1,1,1,38.84615384615385,101000,0,NA
223,1,61,1,1,1,0,NA,130300,1,1500
224,1,47,1,1,0,0,12.980769230769232,24600,1,800
225,0,75,1,1,1,1,60.43956043956044,152400,0,NA
226,1,60,1,1,1,1,38.46153846153846,100000,1,3200
227,1,34,1,1,0,1,20.673076923076923,43000,1,980
228,0,48,0,0,0,1,11.538461538461538,21600,1,900
229,1,71,1,1,1,0,NA,62400,0,NA
230,0,40,1,1,1,1,79.32692307692307,265000,1,3300
231,0,65,1,1,1,1,27.24358974358974,97000,0,NA
232,1,73,1,0,0,0,NA,55400,0,NA
233,1,37,0,1,1,1,3.4615384615384612,109000,1,3100
234,1,77,1,1,0,0,NA,16600,1,390
235,0,55,1,1,0,1,18.269230769230766,51770,1,710
236,0,57,1,1,0,1,36.05769230769231,140400,0,NA
237,0,29,1,1,0,1,26.923076923076923,72000,0,NA
238,0,50,1,1,1,1,150,440500,1,5100
239,1,42,1,1,1,1,21.634615384615383,142000,0,NA
240,0,34,0,1,1,1,43.26923076923077,90000,1,1400
241,1,25,1,1,1,1,5.408653846153846,103680,1,2100
242,1,24,1,1,1,0,NA,0,0,NA
243,1,34,1,1,0,1,9.615384615384617,20000,1,1400
244,0,56,1,1,1,1,26.44230769230769,225000,1,1300
245,0,33,0,1,1,1,110.57692307692307,249500,1,1900
246,1,38,1,1,0,1,17.307692307692307,36600,1,920
247,0,38,0,1,1,1,72.11538461538461,150000,1,1900
248,1,40,1,1,0,0,0.7612179487179488,950,0,NA
249,0,64,1,1,0,0,NA,19800,1,470
250,0,35,1,1,1,1,114.1025641025641,352000,1,3200
251,0,74,1,1,0,0,NA,82000,0,NA
252,1,36,0,1,1,0,NA,90000,1,3200
253,0,31,0,1,1,1,44.23076923076923,92000,1,1500
254,0,23,0,1,1,1,19.230769230769234,140000,1,2200
255,0,49,1,1,1,1,104.32692307692307,217000,1,1000
256,0,68,1,1,0,0,NA,27440,1,530
257,1,44,1,1,1,1,45.05494505494505,148400,1,1600
258,0,30,1,1,0,1,26.923076923076923,193000,1,1800
259,0,35,1,1,1,1,62.5,293000,1,3000
260,1,60,1,1,0,1,8.131868131868133,14800,0,NA
261,0,37,0,1,1,1,79.05982905982906,185000,1,2000
262,0,36,1,1,1,1,44.23076923076923,159000,1,1900
263,0,45,1,1,1,1,68.26923076923077,142000,0,NA
264,0,39,1,1,1,1,26.923076923076923,153000,0,NA
265,0,65,1,1,1,1,93.75,334600,0,NA
266,0,29,1,1,1,1,30.769230769230766,102700,1,2000
267,0,23,0,0,0,0,0.8012820512820513,16700,1,800
268,0,37,1,1,0,1,32.69230769230769,68000,1,1300
269,0,33,1,1,0,1,34.61538461538461,157500,1,2300
270,1,41,1,1,1,1,0,220000,0,NA
271,1,29,1,1,1,1,39.90384615384615,51500,1,1300
272,1,56,1,1,0,0,NA,91000,1,760
273,0,29,1,1,0,1,64.90384615384616,210000,1,2100
274,0,38,0,1,0,1,16.153846153846153,29400,1,1300
275,1,55,1,1,1,1,28.846153846153847,90000,1,1000
276,0,27,1,1,1,1,38.46153846153846,100000,1,3000
277,1,38,1,1,1,1,24.35897435897436,57000,0,NA
278,0,72,1,1,1,1,46.15384615384615,43400,0,NA
279,1,30,1,1,0,1,3.846153846153846,8000,1,570
280,0,57,0,1,0,1,37.01923076923077,15400,1,980
281,0,32,1,1,1,1,32.05128205128205,176000,1,2000
282,1,42,1,1,1,1,25.480769230769234,61900,0,NA
283,1,73,1,1,1,0,NA,113200,1,2000
284,1,72,1,1,1,0,NA,31400,0,NA
285,0,69,1,1,1,1,9.230769230769232,24200,0,NA
286,0,71,1,1,0,0,NA,13000,1,890
287,0,52,1,1,1,1,16.025641025641026,51800,1,1200
288,1,47,1,1,1,1,89.74358974358975,210000,1,3500
289,0,44,0,1,1,1,4.917582417582418,40300,1,2100
290,1,56,1,1,0,1,25,65800,0,NA
291,1,36,1,1,1,1,327.88461538461536,822000,0,NA
292,0,66,1,1,0,0,NA,143830,0,NA
293,1,34,1,1,1,1,0,48000,1,1700
294,0,39,1,1,1,1,100.96153846153847,210500,1,3200
295,0,34,1,1,1,1,48.562548562548564,250000,0,NA
296,0,46,1,1,1,1,25,65050,1,1300
297,1,32,1,1,1,1,40.38461538461539,105000,1,2000
298,0,31,1,1,1,1,113.67521367521367,278040,1,3600
299,1,37,0,1,1,1,15.274725274725276,58800,0,NA
300,0,66,1,1,0,0,NA,9600,1,210
301,0,31,1,1,1,1,153.84615384615387,435900,1,3000
302,1,36,1,1,1,0,10.064102564102564,82330,0,NA
303,1,26,1,1,1,1,25.641025641025642,56500,1,1400
304,1,50,1,1,1,1,18.13186813186813,33000,1,1000
305,0,37,1,1,1,1,33.65384615384615,70000,1,1100
306,0,32,0,1,1,1,76.92307692307692,310000,0,NA
307,0,23,1,1,1,1,28.846153846153847,61000,1,1500
308,0,25,1,1,1,0,NA,100000,1,3100
309,1,38,0,1,1,1,88.46153846153845,659600,1,3800
310,1,56,1,0,0,0,NA,40350,1,800
311,0,37,0,1,0,1,53.57142857142857,78000,1,980
312,0,60,1,1,1,1,48.07692307692308,100000,1,2000
313,1,48,1,1,0,1,9.615384615384617,21000,1,960
314,1,35,1,1,1,1,40.598290598290596,95030,1,2100
315,0,25,0,1,1,0,NA,0,1,2600
316,0,50,0,0,0,1,7.564102564102565,107600,0,NA
317,0,29,1,1,1,1,15.625,65000,1,1900
318,1,34,1,1,1,1,57.69230769230769,260000,0,NA
319,1,25,1,1,1,1,39.42307692307692,174000,1,2300
320,0,52,1,1,1,1,25.64102564102564,60000,1,1300
321,1,28,1,1,1,1,43.26923076923077,90000,1,2000
322,1,59,0,1,0,1,9.615384615384617,140000,1,1300
323,0,58,1,1,1,1,15.384615384615385,60000,1,1300
324,1,37,1,1,1,0,28.846153846153847,75000,0,NA
325,1,48,1,1,1,1,17.67151767151767,72400,1,1500
326,1,39,0,1,1,0,NA,683000,1,5100
327,1,56,1,1,1,1,48.07692307692308,130000,0,NA
328,0,30,1,1,1,1,45.45454545454545,240060,1,2900
329,0,29,1,1,0,1,15.384615384615385,90000,1,1200
330,1,30,1,1,0,1,15.384615384615383,32000,1,1200
331,0,27,0,1,1,1,73.42657342657343,210000,1,1700
332,0,29,1,1,1,1,86.53846153846153,233000,0,NA
333,1,66,1,1,0,0,30.288461538461537,73300,0,NA
334,0,37,1,1,1,1,262.3076923076923,684900,0,NA
335,1,33,1,1,1,1,54.395604395604394,99000,1,2000
336,0,25,0,1,1,1,81.73076923076923,395000,0,NA
337,0,42,1,1,0,1,19.230769230769234,40000,1,2000
338,0,43,1,1,1,1,16.538461538461537,83150,0,NA
339,0,45,0,1,1,1,28.846153846153847,315000,1,3300
340,0,31,0,1,1,0,NA,24000,1,1400
341,0,28,0,1,1,1,81.73076923076923,170000,1,2600
342,1,30,1,1,1,1,48.07692307692308,190000,1,2300
343,1,28,1,1,0,0,NA,38600,1,1500
344,1,50,1,1,1,1,0,6200,0,NA
345,0,49,1,0,0,1,24.03846153846154,59300,1,1700
346,1,80,1,1,0,0,NA,10000,1,730
347,1,29,0,1,1,0,NA,68000,1,1600
348,0,47,1,1,1,1,96.15384615384616,250000,0,NA
349,1,67,1,1,0,0,NA,0,1,5100
350,0,76,0,0,0,0,NA,10200,1,250
351,1,48,1,1,0,0,NA,0,1,1400
352,0,39,0,1,1,1,60.8974358974359,190000,1,2900
353,0,33,1,1,0,1,5.384615384615384,32100,1,1500
354,1,26,0,1,1,1,36.53846153846154,243000,1,3000
355,0,41,1,1,1,1,84.61538461538461,220500,0,NA
356,1,24,1,1,1,1,9.109311740890687,18000,1,1200
357,1,29,1,1,1,1,28.846153846153847,75000,1,1600
358,0,28,1,1,1,1,25.64102564102564,119200,1,2100
359,1,45,0,1,1,1,75.96153846153847,158500,1,2500
360,0,43,1,1,0,1,11.538461538461538,59600,1,1600
361,0,54,1,1,1,1,88.03418803418803,294000,0,NA
362,0,29,1,1,1,1,374.72527472527474,682000,1,1300
363,1,59,1,1,1,1,23.076923076923077,64900,1,1600
364,0,27,1,1,1,1,33.84615384615385,89220,1,2000
365,0,61,1,1,1,1,28.846153846153847,430000,0,NA
366,0,33,1,1,1,1,38.46153846153847,80000,1,2000
367,1,32,0,1,1,1,89.42307692307693,375000,1,3800
368,0,50,0,1,1,1,67.3076923076923,229000,0,NA
369,1,68,1,1,1,0,NA,45400,1,830
370,0,33,0,1,1,1,39.743589743589745,173000,1,3400
371,0,37,1,1,0,0,NA,9600,1,190
372,0,38,0,1,1,1,144.23076923076923,310600,1,3000
373,1,35,1,1,1,1,33.65384615384615,70000,1,950
374,1,78,1,1,1,0,NA,145700,0,NA
375,0,38,1,1,1,1,105.76923076923076,220000,1,2400
376,1,89,1,1,0,0,NA,0,1,1100
377,1,36,1,1,1,1,35.09615384615385,101000,1,1500
378,0,54,0,1,0,1,30.769230769230766,88800,1,1000
379,1,50,1,1,0,1,21.634615384615383,45000,1,840
380,1,30,1,1,1,1,0,38400,0,NA
381,1,28,1,1,1,1,52.88461538461538,111400,1,2400
382,1,30,0,1,1,0,38.94230769230769,381000,1,2200
383,0,61,1,1,0,1,43.26923076923077,121000,0,NA
384,0,68,1,0,0,1,14.423076923076923,84400,0,NA
385,0,60,1,1,1,1,30.769230769230766,121000,0,NA
386,1,70,1,1,0,0,NA,79400,0,NA
387,0,60,1,1,0,0,1.2692307692307692,50800,1,780
388,0,57,1,1,1,1,71.15384615384615,188300,1,5100
389,0,50,1,1,1,1,7.692307692307692,16000,1,890
390,1,87,1,1,0,0,NA,60500,0,NA
391,1,31,1,1,1,1,48.07692307692308,200000,1,3800
392,1,29,0,1,1,1,38.46153846153847,215050,1,2800
393,0,40,0,1,1,1,57.69230769230769,120000,1,1600
394,0,64,1,1,0,1,91.34615384615384,137900,0,NA
395,1,80,1,1,1,0,NA,16000,1,410
396,1,27,1,1,1,1,52.88461538461538,111400,1,3500
397,0,71,1,1,1,1,7.6923076923076925,29100,1,1500
398,0,72,1,1,1,0,NA,120750,0,NA
399,0,44,1,1,1,1,53.84615384615385,140000,1,2100
400,0,61,0,1,1,0,3.846153846153846,44000,0,NA
401,1,49,0,1,0,1,18.028846153846153,31300,1,2100
402,0,71,1,1,1,1,21.153846153846153,151000,0,NA
403,1,29,1,1,1,1,30.288461538461537,118000,0,NA
404,0,31,1,1,1,1,40.598290598290596,95000,1,1900
405,0,27,0,1,0,1,14.230769230769232,67000,1,1700
406,1,56,1,1,1,1,16.826923076923077,171600,1,2200
407,0,32,0,1,0,0,NA,110000,1,1500
408,1,38,0,1,1,1,58.17307692307693,261000,1,2700
409,0,29,0,1,1,1,43.8034188034188,268050,1,5100
410,0,31,1,1,1,1,0,109000,1,2000
411,0,65,1,1,1,0,3.0048076923076925,54000,1,900
412,1,41,1,1,1,1,76.92307692307692,250000,0,NA
413,1,74,1,1,0,0,NA,37300,1,1200
414,1,59,1,1,0,1,0,18000,1,1200
415,0,42,1,1,0,1,19.23076923076923,33200,1,1100
416,1,66,1,1,1,0,NA,721200,0,NA
417,0,39,0,1,1,1,58.65384615384615,122000,1,1700
418,1,31,1,1,1,1,48.07692307692308,100000,1,2000
419,1,57,1,1,0,1,36.05769230769231,80400,1,1100
420,0,32,1,1,1,1,43.26923076923077,120000,0,NA
421,0,45,0,1,1,1,0,30700,1,990
422,0,77,1,0,0,0,NA,17600,1,290
423,1,63,0,1,0,1,0,20000,1,700
424,1,32,1,1,1,1,20,42000,1,1500
425,1,35,1,1,1,1,327.88461538461536,692000,0,NA
426,0,56,1,1,1,1,20.164835164835164,36700,0,NA
427,0,50,1,1,0,1,34.61538461538461,193200,0,NA
428,0,58,1,1,1,1,57.30769230769231,149000,0,NA
429,0,36,1,1,1,1,46.15384615384615,289600,0,NA
430,0,31,0,1,1,1,115.38461538461539,241500,1,2600
431,1,33,1,1,1,1,1.4423076923076923,131000,1,2200
432,1,56,1,1,1,0,NA,401000,0,NA
433,0,37,0,1,0,1,36.05769230769231,118200,0,NA
434,1,30,1,1,1,0,NA,215000,0,NA
435,1,47,1,1,1,1,4.578754578754579,45000,0,NA
436,1,56,1,0,0,1,11.538461538461538,488600,0,NA
437,0,50,0,1,1,1,92.3076923076923,387000,0,NA
438,0,27,1,1,1,1,50,232000,1,2100
439,1,33,1,1,1,1,23.076923076923077,142000,1,3200
440,1,39,1,1,0,1,30.76923076923077,210110,0,NA
441,0,38,1,1,1,1,52.88461538461538,177000,1,1600
442,0,62,1,1,0,0,NA,31000,1,1800
443,1,57,1,1,1,1,96.15384615384616,245000,0,NA
444,1,30,0,1,1,1,73.93162393162393,173000,1,2800
445,0,66,1,1,1,1,62.5,133830,0,NA
446,1,77,1,1,0,0,NA,25900,0,NA
447,1,37,0,1,0,1,1.923076923076923,30000,1,1400
448,1,72,1,0,0,0,NA,12550,1,380
449,1,51,1,1,0,1,32.967032967032964,90000,1,1500
450,1,42,1,1,1,1,9.981684981684982,21000,1,1600
451,0,32,1,1,1,1,46.15384615384615,120000,1,2000
452,0,32,0,1,1,1,38.46153846153847,80000,1,2400
453,0,63,0,0,0,1,18.365384615384617,46600,1,1100
454,0,39,1,1,0,1,19.23076923076923,37000,1,1600
455,1,77,0,1,1,0,NA,102410,0,NA
456,1,46,1,0,0,1,10.62753036437247,129400,1,1000
457,0,49,1,1,1,1,96.15384615384616,260000,0,NA
458,0,48,0,1,1,1,134.6153846153846,280000,0,NA
459,1,73,1,1,0,0,NA,11600,1,520
460,0,50,1,1,1,1,67.3076923076923,210000,1,1600
461,1,43,1,1,0,1,19.23076923076923,45000,1,1200
462,0,45,1,1,1,1,27.884615384615387,58000,1,1600
463,0,36,0,1,1,1,37.5,115400,0,NA
464,0,74,1,1,1,1,37.5,71170,0,NA
465,1,43,0,1,1,1,62.93706293706293,615000,1,5100
466,0,41,1,1,1,1,34.18803418803419,80000,1,1500
467,0,47,1,1,1,1,62.5,130000,1,2500
468,0,69,1,1,0,0,NA,9600,0,NA
469,1,46,1,1,0,1,17.78846153846154,77000,1,990
470,1,63,1,1,1,1,51.44230769230769,354000,0,NA
471,1,84,1,1,0,0,NA,18800,1,710
472,0,40,0,1,1,1,420.6730769230769,305000,1,5100
473,0,36,1,1,0,1,32.69230769230769,68000,1,990
474,0,48,1,1,0,1,29.289940828402365,112200,0,NA
475,0,55,1,1,1,1,12.740384615384617,62400,1,790
476,0,63,1,1,0,1,12.01923076923077,25000,1,1500
477,0,53,1,1,0,1,48.07692307692308,140000,0,NA
478,0,37,1,1,1,1,96.15384615384615,380000,0,NA
479,1,63,1,0,0,0,NA,10000,1,170
480,1,34,1,1,0,1,19.230769230769234,30100,1,1200
481,0,35,0,1,1,1,49.51923076923077,286000,1,5100
482,0,76,1,1,1,1,8.653846153846155,115500,0,NA
483,1,39,1,1,0,0,NA,60000,0,NA
484,1,45,1,1,1,0,64.1025641025641,450000,0,NA
485,1,50,1,1,0,0,NA,47200,1,790
486,0,39,0,1,1,0,NA,0,0,NA
487,1,37,1,1,1,1,0,76400,1,2000
488,1,69,1,1,0,0,NA,56000,0,NA
489,1,76,1,0,0,0,NA,24000,1,190
490,1,28,1,1,1,1,28.846153846153847,125000,1,3000
491,1,49,1,1,0,0,NA,9600,1,350
492,1,70,1,1,0,0,NA,67000,0,NA
493,0,30,0,1,0,1,35.256410256410255,111900,1,1200
494,1,24,1,1,0,1,32.967032967032964,60000,1,1100
